Name,Area of specialisation,Link,Image/Pdf,End Date,End Date 2,Country,Level needed,Link2,Action item,Deadline month
Auburn university,"Biosystems, Chemistry, Engineering, biomass",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/auburn_university.jpeg,,,USA,"MSC, PhD",,,
University of Texas Airlington,"Transportation engineering, civil engineering",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FZXsdFHaIAEBY8v.jpeg,,,USA,PhD,,,
University of leeds,"Anthropology, Gender Studies, development studies, human & social geography",https://phd.leeds.ac.uk/project/1369-phd-in-gender-sexuality-and-climate-change-in-the-global-south,,31-Aug,,UK,PhD,,,Aug
TU Delft,"Artificial intelligence, Computer science, Mathematics, Statistics, geodesy",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FZYxqcTaUAATOiE.jpeg,,,Netherlands,,,,
"Institute of Cancer Research, Medical University of Vienna","Cancer, Chemistry, Drug discovery, Medicine",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FZaX3p0akAEZfd3.jpeg,,,Austria,PhD,,,
Syracuse University,"Electromagnetism, Engineering, Physics, microwave engineering",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FZeXs-VXgAAqopl.jpeg,,,USA,PhD,,,
Mastercard - University of Cape Town,All disciplines,http://mcfsp.uct.ac.za/how-apply,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FZcxhBcWYAAuSd-.jpeg,25-Sep,,South Africa,"BSc, MSC",,,Sep
University Polytechnico De Catalunya -UPC,"Engineering, Fluid mechanics, Microfluids, Physics, civil engineering, thermal sciences",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FZgO2j0akAEdCYK.jpeg,30-Sep,,spain,PhD,,,Sep
MIAI@Grenoble Alpes Master 2 Research Scholarships,All disciplines,https://miai.univ-grenoble-alpes.fr//ongoing-calls/miai-grenoble-alpes-master-2-research-scholarships-836858.kjsp?RH=1583848798719,,20-May,,France,MSC,,,May
RMIT,"Hydrogeology, Water resources engineering, humanitarian engineering",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/rmit.pdf,21-Aug,,Australia,PhD,,,Aug
The Laidlaw Scholarships,Business administration,https://www.sbs.ox.ac.uk/oxford-experience/scholarships-and-funding/laidlaw-scholarships,,04-Jan,,UK,MBA,,,Jan
VUB,"Digital economy, Economics, Entrepreneurship, Management, Psychology, international business",https://jobs.vub.be/job/Elsene-PhD-in-Knowledge-Transfer-and-Digital-Technologies/824575101/,,01-Sep,,Belgium,PhD,,,Sep
VUB,"Economics, Geography, Management, Mathematics, Political science, Psychology, Sociology, Transportation engineering, Urban Studies, urban planning",https://jobs.vub.be/job/Elsene-PhD-scholarship-in-impact-assessments-for-sustainable-urban-logistics/816452101/,,15-Aug,,Belgium,PhD,,,Aug
VUB,"Biochemistry, Bioengineering, Biology, Biomedical Sciences, Biomedicine, Bioscience",https://jobs.vub.be/job/Jette-PhD-scholarship-Liver-Cell-Biology-%28VUB-Jette%29/836987901/,,15-Sep,,Belgium,PhD,,,Sep
"Mary Immaculate College, Limerick.",Geography,,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/MIIC.pdf,16-Sep,,Ireland,PhD,,,Sep
UCD INSTITUTE OF FOOD AND HEALTH,"Agriculture, Food science, Nutrition",,"Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/420C6DB5-7E47-45CA-B9DC-C78CC6036F11.jpeg, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/6384F01F-3468-4BC9-AA47-36D4B9C1ABF0.jpeg",19-Aug,,Ireland,"MSC, PhD",,,Aug
Caetano lab,"Bioinformatics, Biology, Computational biology",https://caetanods.weebly.com/join-the-lab.html,,,,USA,MSC,,,
Physics of parasitism,"Biology, Physics",https://www.uni-wuerzburg.de/projekte-1/p14-building-a-data-driven-model-of-a-virtual-parasite/,,,,Germany,PhD,https://www.uni-wuerzburg.de/projekte-1/,,
University of Bonn,"Biochemistry, Biology, Chemistry, Pharmacology, Pharmacy",,"Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/A3E43A6C-F8AB-4F52-B1B7-BD9F3A7F8005.jpeg, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/AAB049A0-0721-4831-9850-E3D11A4422C9.jpeg",31-Aug,,Germany,PhD,,,Aug
University of Delaware,"Earth science, Ecology",https://findajob.agu.org/job/8019598/phd-position-in-global-ecologycarbon-cycle,,26-Aug,,USA,PhD,,,Aug
Virginia tech,"Biomedical Sciences, Vertinary medicine, Vertinary science",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/A5EC548D-CE2E-4AFB-A6CF-B6117CA5AB29.png,,,USA,PhD,,,
Artois university,"Biology, Molecular biology",,"Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/IMG_20220715_092230_031.jpg, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/IMG_20220715_092150_073.jpg",01-Sep,,,,,,Sep
"South Asia Institute, Heidelberg University.",Economics,,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FXZasxNacAA4Cku.jfif,,,Germany,PhD,,,
OVGU,"Biotechnology, Microbiology, Molecular biology, virology",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FXfxEvpXwAQIAB0.jfif,12-Aug,,Germany,,,,Aug
University Hospitals Leuven & School of Biomedical Engineering and Imaging Sciences,"Chemical engineering, Chemistry, Computer science, Electrical engineering, Engineering, Mathematics, Mechanical engineering, Physics",,"Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FXetko9acAAwlOy.jfif, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FXetko7aMAA_MjT.jfif",,,"Belgium, UK",,,,
Leibniz center for tropical marine research,"Biogeochemistry, Computational science, Ecology, Environmental science, Marine science, Mathematics, Oceanography, Physics",https://www.leibniz-zmt.de/en/vacancies/doctoral-candidate-gn-wg-systems-ecology.html,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/20220520_phD_N2FIX_new.pdf,13-Jul,,Germany,PhD,,,Jul
Vienna International school of earth and space sciences (VIESS) - University of Vienna,"CLIMATOLOGY, Mathematics, Physics, meteorology",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FXd68mVWYAEOCar.jfif,01-Aug,,Austria,,,,Aug
PhD thesis in evolutionary ecology of rhizobia-legume interactions - INRAE,"Biology, EVOLUTIONARY BIOLOGY, Microbiology",https://jobs.inrae.fr/ot-15026,"Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/INRAE_1.png, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/INRAE_2.png",01-Nov,,France,PhD,,,Nov
Imperial College London,"Chemistry, Physics, data science",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FXdYU1fWQAA1yAz.jfif,,,UK,"MSC, PhD",,,
SEMM European School of Molecular Medicine,"Biomedicine, Computational biology, Human genetics, Medicine, medical humanities, molecular medicine, molecular oncology, systems medicine",https://www.semm.it/,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FXdTOxCXEAgYpXC.jfif,29-Aug,,Italy,PhD,,,Aug
Next Generation Energy Systems (NexSys),"Control engineering, Electrical engineering, Electronics, Power engineering",,"Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FXg7JJjaQAAZ1Ur.jfif, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FXg7JJaaQAADrff.jfif",,,Ireland,PhD,,,
HU berlin,"Economics, Political science",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FXJr4x2XwAAx-8R.jpeg,26-Jul,,Germany,PhD,,,Jul
University college dublin ,"Earth science, Earthquake engineering, Engineering, Geo technical engineering, Geography, Geology, Geophysics, Geotechnics, civil engineering, geological engineering",,"Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FXJjplxXEAAj92P.jpeg, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/Caldera_PhD_Description_iCRAG22.pdf",31-Aug,,Ireland,"MSC, PhD",,,Aug
Purdue university,"Applied mathematics, Computer science, Engineering technology, Industrial engineering, Operations research, Statistics, Transportation engineering",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FXJfBmjaMAAtf3P.jpeg,01-Oct,01-Nov,USA,,,,Oct
Sennet project,"Bioengineering, Bioscience, Chemical engineering, Chemistry, Computational engineering, Material science, Mechanical engineering, Mechanics, Physical engineering, Physics, Quantum mechanics, Thermodynamics",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FXI4QWXWQAY_-4U.jpeg,,,"Europe, France, Multiple countries",,,,
National technical univeristy,"Marine ecology, Marine geoscience, Marine science, marine biology",,"Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FUncjtNUsAAFzrQ.jpeg, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FUncjxpVUAAt7F9.jpeg",11-Jul,,Singapore,PhD,,,Jul
Khalifa university,All disciplines,https://www.ku.ac.ae/graduate-admissions,,23-Oct,,United Arab Emirates,"MSC, PhD",,,Oct
Université de mons,"Electrical engineering, Electronics, Power engineering, Renewable energy",,"Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FXIf1DcaMAEnGA5.jpeg, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FXIf1DbaMAAYwE8.jpeg",10-Aug,,Belgium,PhD,,,Aug
University of Bergen,"Digital humanities, Game studies, Humanities, Literature, Literature studies, Media studies",https://www.jobbnorge.no/en/available-jobs/job/226207/phd-research-fellowship-in-digital-culture-digital-narrative-and-digital-humanities,,01-Aug,,Norway,PhD,,,Aug
Max planck institute,"Computer science, Ecology, Economics, Engineering, Geoscience, Mathematics, Oceanography, Physics, Political science, meteorology",https://mpimet.mpg.de/en/science/imprs-esm/how-to-apply,,15-Sep,,Germany,PhD,https://mpimet.mpg.de/en/science/imprs-esm/how-to-apply-regular-call/faqs-frequent-questions,,Sep
GSI,"Physics, Theoretical physics",https://www.gsi.de/en/jobscareer/job_offers/job_offers/postdoctoral-scientist-researcher-all-genders-in-relativistic-high-intensity-laser-plasma-theory-and-simulation-915,,29-Jul,,Germany,Post doc,,,Jul
Center for environmental research,"Biochemistry, Bioinformatics, Biology, Chemistry, Ecology, Environmental science, Geography, Microssystems engineering",https://www.ufz.de/index.php?en=34276,,,,Germany,"MSC, PhD, Post doc",,,
 Julich research center,"Chemistry, Computer science, Engineering, Material science, Mathematics, Organic Chemistry, Physics",https://www.fz-juelich.de/en/careers/jobs/2022D-080,,,,Germany,,,,
Gtz potsdam,"Geophysics, Geoscience, Hydrogeochemistry, Hydrogeology",https://www.gfz-potsdam.de/en/career/job-offers/job-detail/6313,,07-Aug,,Germany,PhD,,,Aug
Colorado state university,"Engineering, Manufacturing additives, Mechanical engineering",https://www.linkedin.com/feed/update/activity:6947222642894499840,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/20220710_111612.jpg,,,USA,"MSC, PhD",,,
University of Nebraska lincoln,"Architectural engineering, Architecture, Computer science, Electrical engineering, Mechanical engineering, Systems engineering, civil engineering, structural engineering",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/1656712404990.pdf,,,USA,PhD,,,
Ohio state university,"Computer science, Electrical engineering, Mathematics, Physics, Systems engineering, civil engineering, structural engineering",https://ceg.osu.edu/risk-assessment-and-management-structural-and-infrastructure-systems,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/1656950002329.pdf,,,USA,PhD,,,
University of Bonn,"Computer science, Robotics",https://www.linkedin.com/feed/update/activity:6951826574769844224,"Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/20220710_105854.jpg, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/20220710_110009.jpg, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/20220710_110020.jpg",07-Aug,,Germany,PhD,,,Aug
University of Passau,"Artificial intelligence, Computer science, Software engineering",,"Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FXIKBLwXgAEbpUa.jpeg, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/2022_10_WM_AR_Prof_Herbold_ENG.doc.pdf",,,Germany,"PhD, Post doc",,,
IRSD & CNRS,"Biochemistry, Biology, Biophysics, Oncology, Physiopathology",,"Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FW-QEuaakAUiN5k.jpeg, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FW-QEvCaUAArmxB.jpeg",20-Jul,,France,PhD,,,Jul
North dakota state university,All disciplines,https://www.ndsu.edu/onestop/scholarships,,,,USA,"BSc, MSC, PhD",,,
Louisana state university,"Construction management, civil engineering",https://lsu.edu/eng/cm/academics/phd/financial-assistance.php,,,,USA,"MSC, PhD",,,
UA little rock,All disciplines,https://ualr.edu/gradschool/assistantship/about/,,,,USA,"MSC, PhD",https://ualr.edu/gradschool/graduate-application/,,
Missouri state,"Construction management, Project management, civil engineering",https://build.missouristate.edu/Assistantships.htm,,,,USA,"MSC, PhD",,,
University of Bologna,"Agricultural science, Astronomy, Biological science, Engineering, Humanities, Mathematics, Political science, Statistics",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/38th_cycle_Call_ENG.pdf,06-Jun,,Italy,"MSC, PhD",,Recurring,Jun
Global Masters Scholarship - University of Birmingham,All disciplines,https://www.birmingham.ac.uk//international/students/global-masters-scholarship.aspx,,30-Jun,,UK,MSC,,Recurring,Jun
West Virginia University - 2 PhD positions,"Computer science, Machine learning",,,,,USA,PhD,,Cold email,
Monash Graduate Scholarships,All disciplines,https://www.monash.edu/graduate-research/study/apply,,31-Aug,,Australia,"MSC, PhD",,"Fully funded, Recurring",Aug
International Master Degrees - Joint Masters,"Computer science, Mathematics, phototonics",https://international-sciencemasters.univ-st-etienne.fr/login,,,,France,MSC,,,
University of Manitoba,"All disciplines, Biological and Behavioural Sciences, Physics, Psychology, Soil sciences, all sciences",https://umanitoba.ca/careers/research-associate-opportunities,,31-Oct,,Canada,Research Associates,,,Oct
University of Illinois,"Computer science, Industrial engineering, Mathematics, Operation research, Statistics",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FRvvxz4aAAASYcT.jpg,,,USA,PhD,,,
University of Rouen,"Applied physics, Physics, laser, phototonics",https://www.univ-rouen.fr/university-of-rouen-normandy/,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FQ8TcQTaUAA-12T.jpg,,,France,PhD,https://scholar.google.fr/citations?hl=en&user=JYTHWIMAAAAJ,,
Nanyang Technological University,"Bioinformatics, Biological and Behavioural Sciences, Biological science, Informatics",https://ntu.wd3.myworkdayjobs.com/en-US/Careers/job/NTU-Main-Campus-Singapore/Research-Assistant--Data-Science-_R00009760-1,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/ntu.png,,,Singapore,MSC,,,
Ruhr Bochum University,"Biochemistry, Molecular biology",https://www.ruhr-uni-bochum.de/en,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FQ8YPctacAEvdeL.jpg,,,Germany,PhD,,,
RWTH AACHEN ,"Computational engineering, Mechanical engineering, Solid Mechanics, civil engineering",https://www.rwth-aachen.de/go/id/kbag/file/V000002676/,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FQ9TK1QakAELG0S.jpg,05-May,,Denmark,,,,May
Purdue University,"Botany, Plant pathology",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/photo1650615079.jpeg,02-May,,USA,MSC,,,May
Chulalongkorn University,"Geography, Geoinformatics",https://arts.chula.ac.th/geography/ ,,20-May,,,,,,May
University of Grenoble Alpes ,"All disciplines, Artificial intelligence, Big data, Computer science, Cybersecurity, Engineering, Engineering mechanics, Health engineering, Informatics, Information technology, Machine learning, Mechanical engineering, Psychology, Social sciences, Solid Mechanics",https://miai.univ-grenoble-alpes.fr/ongoing-calls/miai-grenoble-alpes-master-2-research-scholarships-836858.kjsp?RH=1583848798719,,29-Apr,,France,,,,Apr
Information technical university,"Computer engineering, Computer science, Cybersecurity, Electrical engineering, Embedded system, Information security, Information technology",,"Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FW-RyZHaAAUrauv.jpeg, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FW-RyZRaIAEPF8w.jpeg",,,Pakistan,PhD,,,
San Francisco  bay university  - Presidential scholarship ,"Business administration, Computer science, Electrical engineering",https://www.sfbu.edu/admissions/scholarships,,,,USA,"BSc, MBA, MSC",,,
Western university ,"Material engineering, Materials Engineering, Mechanical engineering",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/1650501861310.jpeg,,,Canada,MSC,,,
Farah’s lab ,"Chemical engineering, Drug discovery, Polymers",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/IMG_20220421_064921_664.jpg,,,Israel,"PhD, Post doc",,,
Technical university Hamburg,"Chemical engineering, Environmental engineering, Fluid mechanics, Geophysics, civil engineering",https://stellenportal.tuhh.de/jobposting/d8ad70b0e5715b00914b8a82e4ab3015577ecd9f0?ref=intranet,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/Researcher_(m_f_d)___Wissenschaftlicher_Mitarbeiter_(m_w_d)_for_the_Institute_of_Geo-Hydroinformatics___Technische_Universitt_Hamburg___1168.pdf,21-Apr,,Germany,PhD,,,Apr
University of Delaware,"Geography, Geospatial analytics, data science and business analytics",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/1648569948147.jpeg,,,USA,PhD,,,
Sabanci university scholarship ,All disciplines,https://www.sabanciuniv.edu/en/graduate-scholarships,,01-Apr,,Turkey,"MSC, PhD",https://www.sabanciuniv.edu/en/application-date,,Apr
Adelaide university ,"Aerospace  engineering, Mechanical engineering, Mining, Mining engineering, civil engineering",https://scholarships.adelaide.edu.au/Scholarships/postgraduate-research/faculty-of-engineering-computer-and-mathematical-sciences/arc-9,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/Abdul_Sheikh_-_Multif_Struc_Panels-_SET_Schol_Promo_flyer.pdf,13-Apr,,Australia,PhD,,,Apr
University of Alberta,"Environmental science, Plant science, Soil sciences",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FQs_FBWXoAUfRIG.jpeg,,,Canada,MSC,,,
NC state university ,"Computer science, Earth science, Engineering, Geography, Geomatics, Geospatial Technology, Geospatial analytics, Machine learning, Remote sensing, civil engineering, data science",https://cnr.ncsu.edu/geospatial/academics/phd-in-geospatial-analytics/,,01-Feb,,,,,,Feb
University of Queensland ,"Biological and Behavioural Sciences, Biological science",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/20220420_190437.jpg,,,Australia,PhD,,,
LSE,All disciplines,,,01-Sep,28-Apr,UK,BSc,https://www.lse.ac.uk/study-at-lse/Undergraduate/fees-and-funding/uggla-family-scholarships/how-to-apply,,Sep
Warwick university  - Albukhary undergraduate scholarship ,All disciplines,https://warwick.ac.uk/study/international/admissions/finance/scholarships/albukhary/,,26-Jan,28-Mar,UK,BSc,,,Jan
Institute of geophysics ,"GIS, Geology, Geophysics, Tectonics, geological engineering",,"Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/20220420_190417.jpg, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/20220420_190437%201.jpg",25-Apr,,Czech Republic,PhD,,,Apr
University of Grenoble Grenoble Alpes ,"Applied mathematics, Geomechanics, Mechanics, Physics, civil engineering",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/PhD_OfferUGA_ENS_(1)(1).pdf,27-May,,France,PhD,,,May
Aarhus university ,"Architecture, Building engineering, civil engineering",https://phd.tech.au.dk/for-applicants/apply-here/saeropslag/phd-on-next-generation-sustainability-focused-decision-support-systems-for-holistic-sustainable-renovation-of-green-buildings-and-neighbourhoods-gbn,,31-May,,Denmark,PhD,,,May
Brain create - University ofCalgary  ,neuroscience,https://cumming.ucalgary.ca/braincreate/how-apply/graduate,,15-Mar,15-Mar,Canada,"MSC, PhD",,,Mar
UQTR,"Chemical engineering, Chemistry, Electrochemistry",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FQwrcUTXwAYzzJA.jpeg,,,Canada,,,,
Radboud university ,Chemistry,https://www.ru.nl/english/working-at/vacature/details-vacature/?ruid=1519&pad=%2fenglish&doel=embed&taal=uk,,08-May,,Netherlands,PhD,,,May
Clemson university ,"Automotive engineering, Mechanical engineering",https://clemsoncomposites.com/,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FQvujIIWQAMkCN-.png,15-May,,USA,PhD,,,May
Ohio state university ,"Agricultural engineering, Agricultural science, Biological engineering, Biosystems, Chemical engineering, Environmental science, Food science, Mechanical engineering",https://bsal.osu.edu/open-positions/graduate-research-associate,,,,USA,"MSC, PhD",,,
University of British Columbia ,,,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/20220418_060833.jpg,,,,,,,
University of Richmond,All disciplines,https://admissions.richmond.edu/process/international/index.html,,01-Jan,,USA,"BA, BSc",https://financialaid.richmond.edu/law/scholarships.html,,Jan
ANID Scholarship ,"civil engineering, structural engineering",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/1648642929143.pdf,28-Apr,,Chile,Post doc,,,Apr
University of Milan,All disciplines,https://www.unimi.it/en/study/financial-support/international-scholarships,,30-May,,Italy,MSC,,,May
University of reading and Cranfield university ,"Food science, Nutrition, Nutritrion",https://research.reading.ac.uk/food-system-equality/2022-phd-opportunities/,,12-Apr,12-May,UK,PhD,,,Apr
University of Ottawa,"Chemistry, Organic Chemistry",http://www.murugesugroup.com/,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/20220402_224335.jpg,,,Canada,,,,
University of Basel,"Computer science, Mathematics, Physics, Theoretical physics",https://jobs.unibas.ch/offene-stellen/post-doc-position-in-the-field-of-optimization-and-machine-learning-prof-a-lucchi/b9935253-8a56-4a70-89a6-5a0bede7bc93#,,,,Switzerland,"PhD, Post doc",https://jobs.unibas.ch/offene-stellen/phd-student-position-in-the-field-of-stochastic-optimization-and-machine-learning-prof-a-lucchi-and-prof-f-proske/b653ac00-3475-4370-bd86-63f967b0c4c5,,
University of Washington ,"Biology, Molecular biology, neuroscience","https://careers-seattlechildrens.icims.com/jobs/42308/postdoctoral-fellow---phd,-research/job?mode=view&mobile=false&width=743&height=500&bga=true&needsRedirect=false&jan1offset=-480&jun1offset=-420",Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/20220402_223646.jpg,,,USA,Post doc,,,
Ley lab,"Biology, Microbiology, Molecular biology",https://leylab.com/join-us/,"Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/PhD_Bacterial_lipidomics.pdf, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/Masters_project_proposal_-_MB_-_30.11.21.pdf",,,Germany,,,,
Microbiology opportunities ,Microbiology,https://www.asmcareerconnections.org/job/understanding-and-improving-nitrogen-fixing-bacteria-on-maize-and-sorghum-roots-for-agricultural-sustainability/62072870/,,,,USA,"MSC, PhD, Post doc",,,
Salford university ,public health,https://www.salford.ac.uk/international/scholarships/msc-public-health-international-scholarship,,02-May,,UK,"MPH, MSC",,,May
Clemson university ,"Animal science, Vertinary medicine, Veterinary",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FPV5XG-X0AMLuFk.jpeg,21-Apr,,USA,"MSC, PhD",,,Apr
University of Calgary,"Kinesiology, Vertinary medicine, Veterinary",https://kinesiology.ucalgary.ca/future-students/graduates/fees-funding/phd-scholarship,,15-Jun,,Canada,PhD,,,Jun
Umea university ,Computer science,https://www.umu.se/en/work-with-us/open-positions/phd-student-in-computing-science-with-focus-on-data-privacy_495086/,,24-Apr,,Sweden,,,,Apr
"University of Nevada, Reno ","Biology, Computer science, Engineering, Fluid mechanics, Geology, Geophysics, Hydrogeology, Hydrology, Mathematics, Physics, Soil sciences, civil engineering, geological engineering",https://www.unr.edu/hydrologic-sciences/graduate-programs/funding-resources,,15-Dec,15-Jul,USA,MSC,,,Dec
Karin kettenring lab,"Agriculture, Ecology, Plant ecology, Watershed",http://www.karinkettenring.com/opportunities.html,,,,USA,"BSc, MSC, PhD",,,
Otsuka scholarship ,"Bioengineering, Business, Business administration, Chemical engineering, Computer science, Electrical engineering, Finance, Human resources, Humanities, Mathematics, Mechanical engineering, Psychology, civil engineering, data science and business analytics",https://elcscholars.com/otsuka-scholarship-grad/?mc_cid=1957b97a29&mc_eid=4a4aa9583b,,15-Apr,,,"MA, MBA, MSC, PhD",,,Apr
University of Canberra,All disciplines,https://www.canberra.edu.au/future-students/apply-to-uc/international-student-applications,,,,Italy,,,,
Austrialian Government Research Training Program,,https://www.canberra.edu.au/hdrapp/auth,,29-Apr,30-Sep,Australia,PhD,https://www.canberra.edu.au/research/graduate-research/current-research-students/scholarships-and-fees,,Apr
Ané Lab - University of Wisconsin,"Biology, Genetics, Microbiology, Plant science, Synthetic biology",https://www.asmcareerconnections.org/job/understanding-and-improving-nitrogen-fixing-bacteria-on-maize-and-sorghum-roots-for-agricultural-sustainability/62072870/,,,,USA,Post doc,,Fully funded,
http://www.uni-halle.de/,"Plant science, plant biology",https://rtg2498.uni-halle.de/positions/,,01-Apr,,Germany,PhD,,Fully funded,Apr
Université Laval,"Bioinformatics, Genomics, Plant pathology",https://edelabcriv.com/lab-members,,30-May,,Canada,Post doc,,"Cold email, Fully funded",May
Aix-Marseille University,neuroscience,https://neuro-marseille.org/en/Calls/2022-phd-scholarships-for-international-students/,,10-Apr,,France,"MSC, PhD",,Fully funded,Apr
Massey University,Agricultural science,,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FO6dVl3VQAAZXT0.jpg,31-May,,New Zealand,PhD,,,May
University of Liege,"Biology, Health sciences, Life sciences, Pharmacy, Veterinary",https://www.gigadoctoralschool.uliege.be/cms/c_8830054/en/gigadoctoralschool-application,,04-Apr,,Belgium,PhD,,Fully funded,Apr
CATTO Scholarship - University of Edinburgh,African Studies,,"Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/catto_1.jpg, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/catto_2.jpg",30-Apr,,UK,"MSC, PhD",,,Apr
University of Calgary,"Bioinformatics, Biology, Microbiology",https://twitter.com/DrShawnL,"Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/1.png, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/2.png",,,Canada,"MSC, PhD",,,
Zintellect - NASA FUNDED PROJECTS,"Biological and Behavioural Sciences, Biological science, Biological sciences",https://www.zintellect.com/Opportunity/Details/0095-NPP-JUL22-ARC-BioSci,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/0095-NPP-JUL22-ARC-BioSci_032522.pdf,07-Apr,01-Jul,,Post doc,,,Apr
TU Darmstadt ,"Electrical engineering, Electromagnetism, Engineering, Fluid mechanics, Mechanical engineering, civil engineering",https://www.tu-darmstadt.de/trr361/jobs_trr361/index.en.jsp,,30-Apr,,Germany,PhD,https://www.tu-darmstadt.de/trr361/areas_trr361/index.en.jsp,,Apr
